text,term,polarity
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels,joy
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff pastry goat cheese,joy
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",salad with a delicious dressing,joy
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",hanger steak au poivre,love
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,neutral
it's a perfect place to have a amanzing indian food.,indian food,love
The place is so cool and the service is prompt and curtious.,service,joy
The place is so cool and the service is prompt and curtious.,place,joy
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,approval
I just wonder how you can have such a delicious meal for such little money.,meal,love
I just wonder how you can have such a delicious meal for such little money.,money,love
The wine list is excellent.,wine list,joy
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Thai food,love
They wouldnt even let me finish my glass of wine before offering another.,glass of wine,neutral
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,neutral
This is a consistently great place to dine for lunch or dinner.,lunch,neutral
This is a consistently great place to dine for lunch or dinner.,dinner,neutral
This is a consistently great place to dine for lunch or dinner.,dine,approval
"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,approval
"Nice atmosphere, the service was very pleasant and the desert was good.",service,joy
"Nice atmosphere, the service was very pleasant and the desert was good.",desert,approval
After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,joy
After really enjoying ourselves at the bar we sat down at a table and had dinner.,table,neutral
After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,neutral
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,love
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,love
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",atmosphere,joy
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,joy
Try the lasagnette appetizer.,lasagnette appetizer,approval
I liked the beer selection!,beer selection,love
"Great food, good size menu, great service and an unpretensious setting.",food,approval
"Great food, good size menu, great service and an unpretensious setting.",menu,approval
"Great food, good size menu, great service and an unpretensious setting.",service,approval
"Great food, good size menu, great service and an unpretensious setting.",setting,approval
Go here for a romantic dinner but not for an all out wow dining experience.,dinner,approval
Go here for a romantic dinner but not for an all out wow dining experience.,dining,disappointed
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Dosa,neutral
Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,approval
Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,joy
"With the great variety on the menu , I eat here often and never get bored .",menu,approval
The menu is very limited - i think we counted 4 or 5 entrees.,menu,disappointed
The menu is very limited - i think we counted 4 or 5 entrees.,entrees,disappointed
The menu is limited but almost all of the dishes are excellent.,menu,disappointed
The menu is limited but almost all of the dishes are excellent.,dishes,joy
Not too crazy about their sake martini.,sake martini,disappointed
"Great bagels, spreads and a good place to hang out in.",bagels,approval
"Great bagels, spreads and a good place to hang out in.",spreads,approval
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,table,neutral
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,joy
We always have a delicious meal and always leave feeling satisfied.,meal,approval
"Dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients,neutral
"Dip the ingredients in with your chopsticks, swirl them around, and eat.",chopsticks,neutral
First went here to enjoy their garden terrace.,garden terrace,joy
The pizza was pretty good and huge.,pizza,approval
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",cuisine,neutral
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,joy
They are often crowded on the weekends but they are efficient and accurate with their service.,service,approval
They are often crowded on the weekends but they are efficient and accurate with their service.,crowded,disappointed
All my co-workers were amazed at how small the dish was.,dish,disgust
"The atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere,approval
"The atmosphere is unheralded, the service impecible, and the food magnificant.",service,love
"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,joy
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,disgust
"The wait staff is friendly, and the food has gotten better and better!",wait staff,approval
"The wait staff is friendly, and the food has gotten better and better!",food,joy
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,approval
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",French food,love
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",packed,disappointed
Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza,approval
Right off the L in Brooklyn this is a nice cozy place with good pizza.,place,joy
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,joy
I also ordered for delivery and the restaurant forgot half the order.,delivery,disappointed
I also ordered for delivery and the restaurant forgot half the order.,order,disappointed
Our server checked on us maybe twice during the entire meal.,server,disappointed
Our server checked on us maybe twice during the entire meal.,meal,neutral
The strong scents coming from the left and right of me negatively affected my taste buds.,scents,disgust
We had the lobster sandwich and it was FANTASTIC.,lobster sandwich,love
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,angry
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,approval
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell crab,approval
Deep Fried Skewers are good and still rare to find in NYC.,Deep Fried Skewers,approval
"I have tried to make reservations, but both times, the hostess didn't have my name.",reservations,neutral
"I have tried to make reservations, but both times, the hostess didn't have my name.",hostess,disappointed
I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,approval
I also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),approval
Their tuna tartar appetizer is to die for.,tuna tartar appetizer,love
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",chef,joy
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",fish dishes,joy
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",soups,joy
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",kitchen,joy
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",cuisine,joy
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",wine,love
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",french fare,approval
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",cheese,love
I love Indian food and consider myself to be quite an expert on it.,Indian food,love
Some baby pizzas get their wish.,baby pizzas,neutral
Overall A oh ya even though there is waiting it is deff worth it,waiting,disappointed
The lava cake dessert was incredible and I recommend it.,lava cake dessert,joy
VT is what baby pizzas hope to be when they grow up.,baby pizzas,neutral
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,angry
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,disgust
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",managers,angry
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,approval
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,approval
The last time I went we were seated at a table in a corridor next to the kitchen.,table,disappointed
good selection of wines ranging from affordable to high end.,selection of wines,approval
"Nice restaurant overall, with classic upscale Italian decor.",Italian decor,approval
Not impressed with the food.,food,disappointed
The entire dining experience was wonderful!,dining experience,joy
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,wine selection,joy
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,reservation,neutral
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,Service,love
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,maitre,joy
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,disappointed
"Order the panang duck, it's fantastic.",panang duck,love
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",raw vegatables,disappointed
"Other than the crappy service from two individuals, it's great.",service,disgust
They have authentic Indian at amazin prices.,Indian,approval
They have authentic Indian at amazin prices.,prices,joy
Ambiance- relaxed and stylish.,Ambiance,joy
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",BBQ Salmon,approval
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Sea Bass,approval
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Crispy Duck,approval
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,approval
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,approval
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,disappointed
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,neutral
and yes Dal Bukhara is so dam good and so are all the kababs.,kababs,approval
and yes Dal Bukhara is so dam good and so are all the kababs.,Dal Bukhara,approval
I look forward to eating here again,eating,approval
I've been coming here as a child and always come back for the taste.,taste,love
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,meal,approval
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,approval
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of prosecco,approval
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",mussels,approval
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of Leaping Lizard,approval
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",Food,neutral
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",creme brulee,disgust
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",sugar,disgust
The food always tastes fresh and served promptly.,food,approval
The food always tastes fresh and served promptly.,served,approval
The pizza here is delicious.,pizza,approval
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",Pizza,approval
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",delivery,joy
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",garlic knots,approval
"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",chinese food,approval
But who says Murray's is anything about service.,service,neutral
"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",food,disappointed
Hats off to the chef.,chef,approval
"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",Service,disappointed
"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",teapot,approval
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza,approval
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",fresh mozzarella,approval
Its an excellent place to relax and the food is one of the best in the city of New York.,place,joy
Its an excellent place to relax and the food is one of the best in the city of New York.,food,love
"service is friendly, and never had a problem walking in and getting a table.",service,approval
"service is friendly, and never had a problem walking in and getting a table.",getting a table,approval
The atmosphere was crowded but it was a great bistro-type vibe.,bistro-type vibe,approval
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",waitress,disappointed
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",tables,neutral
The food was bland oily.,food,disgust
"What is even better, is that the prices are very affordable as well, and the food is really good.",prices,approval
"What is even better, is that the prices are very affordable as well, and the food is really good.",food,approval
The fish is fresh but the variety of fish is nothing out of ordinary.,fish,approval
The fish is fresh but the variety of fish is nothing out of ordinary.,variety of fish,disappointed
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",pesto pizza,love
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",house salad,love
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",bottle of wine,approval
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",meal,love
"And Kruno, the beverage manager is the best bartender I have yet to come across.",bartender,love
"And Kruno, the beverage manager is the best bartender I have yet to come across.",beverage manager,love
"Ambiance and music funky, which I enjoy.",Ambiance,love
"Ambiance and music funky, which I enjoy.",music,love
"The food, drinks and service are clearly among the best in the city.",food,love
"The food, drinks and service are clearly among the best in the city.",drinks,love
"The food, drinks and service are clearly among the best in the city.",service,love
I went there in late afternoon for some bite size food and refleshment with my date.,food,neutral
I went there in late afternoon for some bite size food and refleshment with my date.,refleshment,neutral
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",ambiance,joy
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",service,love
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",foods,approval
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",tastes,approval
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",sommlier,approval
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",captain,approval
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",back waiters,approval
"Last time I went here, the waitress didn't come back after taking our order.",waitress,disappointed
Try the tandoori salmon!,tandoori salmon,approval
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",atmosphere,approval
"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",space,disappointed
"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",service,love
I love the atmorphere @ peep!,atmorphere,love
The service was attentive and her suggestions of menu items was right on the mark.,service,approval
The service was attentive and her suggestions of menu items was right on the mark.,menu items,approval
The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,three course meal,approval
"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!",Pizza,joy
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",environment,joy
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",food,disgust
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",service,angry
"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",crawfish boiled,joy
I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,reservation,neutral
What came to our table was burned beyond recognition and stringy.,table,neutral
I had the Pad Thai and the noodles were sticky.,Pad Thai,disgust
I had the Pad Thai and the noodles were sticky.,noodles,disgust
"So I've never actually been to M proper, but I've had it delivered a few times.",delivered,neutral
"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",values for your money,love
"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",lunch,love
The hostess is rude to the point of being offensive.,hostess,angry
"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",food,approval
"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",wait building,disgust
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",corridor,disappointed
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",space,disappointed
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",counters,disappointed
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",counter,disappointed
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",entrees,neutral
The food is great.,food,approval
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,steaks,approval
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,salads,approval
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,sides,approval
"Lunch came with pickels and slaw, no extra charge.",Lunch,approval
"Lunch came with pickels and slaw, no extra charge.",pickels and slaw,neutral
Decent wine at reasonable prices.,wine,approval
Decent wine at reasonable prices.,prices,approval
All conveniently delivered right to the door.,delivered,approval
even the wine by the glass was good.,wine by the glass,approval
would have rather tried terrace in the sky or water club for that price,price,disappointed
This dish is my favorite and I always get it when I go there and never get tired of it.,dish,love
"I also ordered the Change Mojito, which was out of this world.",Change Mojito,love
Okay service.,service,neutral
The only thing more wonderful than the food (which is exceptional) is the service.,food,love
The only thing more wonderful than the food (which is exceptional) is the service.,service,love
"The food was just awful, ATROCIOUS actually.",food,disgust
The soup for the udon was soy sauce and water.,soup for the udon,disappointed
The soup for the udon was soy sauce and water.,soy sauce,neutral
The soup for the udon was soy sauce and water.,water,neutral
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",anti-pasta,joy
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",calamari,joy
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",filling pasta mains,joy
The waitress suggested glasses of wine that went very well with the food.,waitress,approval
The waitress suggested glasses of wine that went very well with the food.,food,neutral
The waitress suggested glasses of wine that went very well with the food.,glasses of wine,approval
"They might be all business at the counter when you give your order, but their food says I love you.",food,approval
"They might be all business at the counter when you give your order, but their food says I love you.",counter,disappointed
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sushi,approval
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",ceviche mix (special),approval
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",crab dumplings,approval
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",assorted sashimi,approval
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sushi,approval
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",rolls,approval
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sake,approval
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",banana tempura,approval
Try their plain pizza with fresh garlic or eggplant.,plain pizza,approval
Try their plain pizza with fresh garlic or eggplant.,garlic,approval
Try their plain pizza with fresh garlic or eggplant.,eggplant,approval
"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",servers,disappointed
Good luck getting a table.,getting a table,disappointed
The service is awful.,service,disgust
"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",takeout menu,approval
"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",menu,approval
"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",italian dishes,approval
"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",Thai food,neutral
Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,hostess,approval
The pizza is good though.,pizza,approval
bottles of wine are cheap and good.,bottles of wine,approval
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",beers,joy
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",food,approval
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",pumkin tortelini,love
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",dish,love
They didn't give us the dinner special until we asked for it.,dinner special,disappointed
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,crabmeat lasagna,love
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,chocolate bread pudding,love
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,dessert,love
"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.",pasta dishes,love
"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.",tiramisu,love
Very good service and very good prices.,service,approval
Very good service and very good prices.,prices,approval
I recently went to this restaurant with some co-workers for lunch and had an amazing time.,lunch,neutral
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",service,love
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",staff,love
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",menu,neutral
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",meal,neutral
Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,bagel,love
Our food was great too!,food,approval
"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.",servers,angry
"Get your food to go, find a bench, and kick back with a plate of dumplings.",food,neutral
"Get your food to go, find a bench, and kick back with a plate of dumplings.",plate of dumplings,approval
